"Title","Genre","Type","Airing_Start","Airing_End","Members","Normalized_Members","Log_Members","Popularity","Normalized_Popularity","Log_Popularity","Score","Normalized_Score","Ranked","Anime_Rating","Episode_Category","Genre_Count"
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi","['Comedy', 'Fantasy', 'School']","OVA","Dec 2009","Dec 2009",16961,0.00903,9.73873082692165,3466,0.215,8.15104494568502,6.96,0.62541,3923,6.91,"Short",3
"""Bungaku Shoujo"" Memoire","['Drama', 'Romance', 'School']","OVA","Jun 2010","Dec 2010",23504,0.01253,10.0649684434582,2943,0.18255,7.98752447984877,7.4,0.69802,2087,7.33,"Short",3
"""Bungaku Shoujo"" Movie","['Mystery', 'Drama', 'Romance', 'School']","Movie","May 2010","May 2010",53766,0.02871,10.892415175054,1799,0.11157,7.49554194388426,7.48,0.71122,1778,7.4,"Short",4
"""Eiji""","['Comedy', 'Drama', 'Sports']","OVA","Aug 1990","Aug 1990",1556,8e-04,7.350516171834,8535,0.52954,9.05204779298159,5.82,0.43729,8865,5.72,"Short",3
"""Eiyuu"" Kaitai","['Comedy', 'Drama']","OVA","Nov 2016","Nov 2016",2938,0.00154,7.98582466641892,7072,0.43876,8.86403999703599,6.08,0.4802,8060,5.99,"Short",2
"""Eiyuu"" Kaitai","['Comedy', 'Drama']","OVA","Nov 2016","Nov 2016",2938,0.00154,7.98582466641892,7072,0.43876,8.86403999703599,6.08,0.4802,8060,5.99,"Short",2
".hack//G.U. Returner","['Magic', 'Adventure', 'Fantasy', 'Game', 'Sci-Fi', 'Drama']","OVA","Jan 2007","Jan 2007",18491,0.00985,9.82509348510812,3321,0.20601,8.10832229017324,6.81,0.60066,4529,6.71,"Short",6
".hack//G.U. Trilogy","['Action', 'Fantasy', 'Game', 'Sci-Fi']","Movie","Mar 2008","Mar 2008",27574,0.01471,10.2246648441217,2693,0.16704,7.89878235697031,7.21,0.66667,2899,7.13,"Short",4
".hack//G.U. Trilogy: Parody Mode","['Fantasy', 'Game', 'Comedy', 'Sci-Fi', 'Parody']","Special","Mar 2008","Mar 2008",9337,0.00496,9.14184737553088,4466,0.27705,8.40447232135212,6.54,0.55611,5849,6.43,"Short",5
".hack//Gift","['Comedy', 'Fantasy', 'Game']","OVA","Nov 2003","Nov 2003",18100,0.00964,9.80372246434655,3356,0.20818,8.11880299698004,6.25,0.50825,7273,6.15,"Short",3
".hack//Intermezzo","['Adventure', 'Fantasy', 'Game', 'Magic', 'Mystery', 'Sci-Fi']","Special","Mar 2003","Mar 2003",19962,0.01064,9.90163583917265,3204,0.19875,8.07246736935477,6.61,0.56766,5514,6.56,"Short",6
".hack//Liminality","['Game', 'Mystery', 'Sci-Fi']","OVA","Jun 2002","Apr 2003",28773,0.01535,10.267227480597,2630,0.16313,7.87511928104029,6.67,0.57756,5218,6.6,"Short",3
".hack//Quantum","['Action', 'Adventure', 'Fantasy', 'Game', 'Sci-Fi']","OVA","Jan 2011","Apr 2011",33968,0.01812,10.4332036229822,2387,0.14805,7.77821147451249,7.24,0.67162,2757,7.17,"Short",5
".hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!","['Game', 'Comedy']","Special","Jan 2011","Apr 2011",6733,0.00357,8.81492459972102,5104,0.31664,8.53797573059877,6.58,0.56271,5654,6.39,"Short",2
".hack//Roots","['Adventure', 'Drama', 'Fantasy', 'Game', 'Sci-Fi']","TV","Apr 2006","Sep 2006",62437,0.03334,11.0419293433669,1621,0.10052,7.39141523467536,6.99,0.63036,3829,6.9,"Long",5
".hack//Sign","['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']","TV","Apr 2002","Sep 2002",143801,0.07683,11.8761926323782,771,0.04778,6.64898455002478,7.06,0.64191,3532,6.98,"Long",6
".hack//Tasogare no Udewa Densetsu","['Adventure', 'Comedy', 'Fantasy', 'Game', 'Sci-Fi', 'Shounen']","TV","Jan 2003","Mar 2003",56934,0.0304,10.9496655452447,1728,0.10716,7.45529848568329,6.67,0.57756,5219,6.59,"Short",6
".hack//Tasogare no Udewa Densetsu: Offline de Aimashou","['Adventure', 'Comedy', 'Fantasy', 'Game', 'Sci-Fi']","Special","Oct 2003","Oct 2003",10358,0.00551,9.2456109860581,4274,0.26514,8.36053938137086,6.25,0.50825,7272,6.17,"Short",5
".hack//The Movie: Sekai no Mukou ni","['Action', 'Adventure', 'Fantasy', 'Game', 'Magic', 'Mystery', 'Sci-Fi']","Movie","Jan 2012","Jan 2012",15033,0.008,9.61806958173741,3660,0.22704,8.20549161312024,7.21,0.66667,2900,7.13,"Short",7
".hack//Unison","['Adventure', 'Comedy', 'Fantasy', 'Game', 'Magic', 'Sci-Fi']","Special","Oct 2003","Oct 2003",20068,0.01069,9.90693161493868,3197,0.19831,8.0702808933939,6.75,0.59076,4824,6.68,"Short",6
".hack//Versus: The Thanatos Report","['Action', 'Game', 'Sci-Fi']","Special","Jun 2012","Jun 2012",5981,0.00317,8.69651023918989,5354,0.33215,8.58578598288185,6.44,0.5396,6326,6.35,"Short",3
"_Summer","['Drama', 'Harem', 'Romance']","OVA","Oct 2006","Jan 2007",8517,0.00452,9.04993685048316,4631,0.28729,8.44074401925283,5.74,0.42409,9208,5.66,"Short",3
"009-1","['Action', 'Mecha', 'Sci-Fi', 'Seinen']","TV","Oct 2006","Dec 2006",15155,0.00807,9.62615177213849,3643,0.22599,8.20083725837985,6.32,0.5198,6937,6.25,"Short",4
"009-1: R&B","['Action', 'Sci-Fi', 'Seinen']","Special","Apr 2007","Apr 2007",3973,0.00209,8.28752842311176,6303,0.39104,8.74893963153771,6.35,0.52475,6799,6.3,"Short",3
